Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.19696183819378116,-1.2459310933601166,0.11442779668635668,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.16893128508740332,-1.1364553842831486,-0.014757414689146637,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.33106380589870327,0.9267666454487243,-0.608961862536982,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.16944470694894753,-1.1364555318314953,-0.014748246845874613,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3310480710222604,0.926766895442711,-0.608962175758882,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.16953123450536556,-1.1364531343810422,-0.0147470200648394,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.21878352815578309,-0.9198994582454899,0.009936505046102117,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6414795151563417,0.619622438340926,-0.15611012248958483,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.35947810846125644,0.8172994247263876,-0.4797709286320371,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.1822603036889831,-1.7596505841803205,0.34803159420756463,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23558888404997294,-1.3039449342297793,0.15336379653581217,3,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.07943823416835329,-1.136612969939127,-0.019162304053863797,3,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.16927726512451033,-1.1364489441368666,-0.014752096028724819,3,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.16487849288472098,-1.1364816681538294,-0.014826176120771962,3,Einsteinium
