Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.14818688501002686,-1.2495097020249892,0.196148626466171,3,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.14877872942635487,-1.249453246841329,0.1961510361126339,3,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.22066910947951543,-0.9637449209679432,0.1033966721479583,3,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.3189888532431277,1.0454140126505382,-0.6340188406553475,0,UnitaryStatus Dollar
UTC,Scrypt,PoW/PoS,50235211.141939,100000000.0,-0.3424845978597699,1.046500622115405,-0.6335925033832845,0,UltraCoin
VIA,Scrypt,PoW,23150892.1679687,23000000.0,-0.180854449698852,-1.0197812052690451,-0.02753556236951399,3,ViaCoin
VRC,Scrypt,PoST,32021108.4136696,0.0,-0.31165530777216044,0.5869988572529601,-0.3496639696982658,0,VeriCoin
VTC,Lyra2REv2,PoW,51173723.8166347,84000000.0,-0.18731325177811034,-1.3016817854282148,0.25883324425793436,3,Vertcoin
WDC,Scrypt,PoW,119606941.0,265420800.0,-0.17795153286268828,-1.0199550257053882,-0.02757690428458122,3,WorldCoin
XC,X11,PoW/PoS,6950831.0970606,5500000.0,-0.3830684047468888,1.1025879990189953,-0.5026507578297584,0,X11 Coin
XCR,Multiple,PoS,100000000.0,0.0,-0.22816102844782737,-0.02999430585860238,0.22670016379659919,0,Crypti
XJO,SHA-256,PoW,39195739.362088,45000000.0,-0.1479833817564827,-1.2494858530256214,0.19613540821540115,3,JouleCoin
XST,X13,PoW/PoS,33093725.4123502,0.0,-0.26372098897250573,1.634718698221546,-0.6619063384589801,0,StealthCoin
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000.0,-0.334895460259516,1.0458616881788587,-0.633647740635219,0,ZCC Coin
BCN,CryptoNight,PoW,184066828814.0,184467440735.0,3.8659857253364325,-2.394806739048345,0.4276976280923986,3,ByteCoin
XDN,CryptoNight,PoW,6906587610.38292,10000000000.0,0.45741040986905246,-2.2670683597466486,0.49810995528250485,3,DigitalNote 
BURST,Shabal256,PoC,1813033920.0,2158812800.0,-0.2880342176985125,0.3234882293120845,0.21961938820814927,0,BurstCoin
SJCX,Counterparty,PoS,51173144.0,500000000.0,-0.33751563749547214,1.3160193459466256,-0.021950159381780427,0,StorjCoin
MONA,Scrypt,PoW,68194674.8711679,105120000.0,-0.17971961577230725,-1.0198403902036612,-0.027554234795703163,3,MonaCoin
NTRN,SHA-256,PoW/PoS,39121694.0,68000000.0,-0.3103296274665327,0.8168348324995367,-0.4099101831104756,0,Neutron
FAIR,Groestl,PoW/PoS,53193831.0,0.0,-0.3649562855886977,0.839548091109173,-0.4826292407662409,0,FairCoin
NLG,Scrypt,PoW,415032420.0,1680000000.0,-0.1642870871598227,-1.0209627495029234,-0.02771722726527718,3,Gulden
RBY,Scrypt,PoS,27184490.3918338,0.0,-0.29086576315051543,0.7623116086582631,-0.2646926150200329,0,RubyCoin
PTC,Scrypt,PoW,137517654.41397,166386000.0,-0.1784355761504923,-1.0198854211932957,-0.02758164444370955,3,PesetaCoin
KORE,X13,PoW/PoS,2022464.886973,12000000.0,-0.26401625212534713,1.6347109729269762,-0.6618948575935167,0,Kore
